day,depth,distance,gap,hour,id,latitude,location.full,longitude,magnitude,minute,month,name,second,significance,time.full,year
27,15.12,0.1034,122.0,0,nc72666881,37.6723333,"13km E of Livermore, California",-121.619,1.43,19,7,California,43,31,2016-07-27 00:19:43,2016
27,97.07,1.439,30.0,0,us20006i0y,21.5146,"58km WNW of Pakokku, Burma",94.5721,4.9,20,7,Burma,28,371,2016-07-27 00:20:28,2016
